income,married,kids,nonwhite,female,education,urban,ability
32665.43,0,0,1,1,11,1,22
77679.36,1,0,0,1,12,1,88
56747.23,0,0,1,1,12,1,4
48358.39,1,0,1,1,12,1,23
31726.65,0,2,0,0,10,0,21
11133.5,1,0,0,1,7,0,29
23041.99,1,4,1,1,9,1,21
107445.93,0,0,0,1,13,1,23
145040.66,1,0,0,1,13,0,29
162579.97,0,2,0,0,12,1,67
112975.08,0,0,1,0,13,0,91
10842.92,1,3,1,0,5,0,43
72523.46,0,2,1,0,12,0,42
23098.59,1,0,1,0,9,1,42
79106.29,0,2,1,0,12,0,62
14587.64,0,0,0,1,9,1,61
10336.47,0,2,1,0,5,1,19
123340.46,0,0,0,1,14,0,94
40107.27,1,0,1,1,9,1,62
19255.36,1,0,0,1,10,1,55
25237.96,0,0,1,1,9,0,9
10693.25,1,0,1,0,4,0,47
15322.36,1,0,0,1,8,1,9
49272.43,1,0,1,1,12,1,48
849094.99,0,2,1,0,16,0,94
15685.91,1,0,1,1,7,0,47
933079.24,1,2,1,0,11,1,92
22374.35,0,0,0,0,10,0,23
10404.72,1,0,1,0,5,1,48
174396.21,1,0,0,0,12,1,22
29572.37,0,0,1,0,10,0,97
50206.15,0,0,1,1,12,1,4
23485.44,0,0,1,0,9,0,65
187599.51,1,0,0,1,12,1,80
19243.97,0,0,1,1,10,1,49
174211.03,1,0,1,1,15,0,3
24338.71,1,2,1,1,11,0,78
12876.74,1,0,0,0,6,1,26
11245.29,0,0,1,0,6,0,47
70264.46,0,0,1,1,11,0,33
206564.14,0,0,1,0,12,1,98
21613.27,1,4,1,1,9,0,35
37407.37,1,2,1,1,10,0,49
685238.66,1,0,0,1,12,1,26
12931.96,0,2,1,1,9,0,8
10834.7,0,0,1,0,4,1,0
103520.1,0,2,1,1,12,1,1
52379.66,0,2,1,1,10,1,44
12118.44,1,1,0,1,7,0,56
97240.56,1,1,0,1,11,0,32
575895.59,1,1,1,0,14,1,75
10366.7,0,3,1,0,5,1,13
11874.42,1,0,1,1,8,0,6
11015.11,1,2,1,1,7,1,13
23866.37,1,4,0,0,9,1,41
47482.23,1,2,1,1,12,0,62
29451.29,1,0,1,0,8,0,38
12298.67,0,0,0,1,7,0,55
23100.53,1,0,1,1,9,1,88
56512.35,1,0,0,1,12,0,73
36597.52,0,2,1,0,11,0,3
25127.38,0,0,0,1,9,1,25
47175.08,1,2,1,1,11,1,49
16977.11,1,0,0,1,9,1,85
118656.58,1,0,1,1,14,1,90
10330.59,0,4,1,1,5,1,62
143796.67,1,0,0,0,12,0,87
201884.9,1,1,1,0,13,1,70
159628.49,1,1,0,0,13,1,20
10183.7,0,0,0,0,3,1,6
391974.63,0,0,1,0,15,0,77
12423.16,0,0,1,1,7,0,57
10444.03,0,0,1,0,5,0,55
20393.07,0,2,1,1,10,1,65
31849.94,1,0,1,0,9,1,5
197722.93,0,0,0,1,14,0,98
302707.52,0,0,0,1,14,1,8
15908.92,0,0,1,1,7,1,51
31251.51,1,0,1,0,10,0,76
158880.56,0,0,0,0,11,0,57
45314.9,0,0,0,1,10,1,1
16649.63,0,2,1,1,9,1,27
45584.01,1,2,0,0,11,1,52
52323.4,0,0,1,0,10,0,84
44019.15,1,0,1,1,9,0,64
351757.25,1,1,1,1,14,1,54
15845.02,0,1,1,0,7,0,7
72746.05,1,1,0,1,13,1,2
10438.36,0,0,1,1,5,0,5
30958.98,0,0,1,0,7,1,25
10008.94,1,0,1,0,0,0,19
187781.91,1,1,1,1,13,1,8
44226.81,1,0,1,1,12,1,14
103549.65,1,2,1,0,13,0,86
11468.1,0,0,1,0,7,1,61
10356.14,1,0,1,1,5,0,28
105336.2,0,2,0,0,12,1,48
642630.28,1,4,1,1,16,0,73
65491.61,1,1,1,0,12,1,90
10062.52,0,1,0,0,2,1,15
14944.22,0,2,1,1,8,1,27
10520.05,1,1,1,1,6,0,58
11125.66,0,0,1,1,7,1,48
32553.13,0,0,1,1,9,1,48
26985.24,1,0,0,0,10,0,21
29204.49,1,0,0,0,10,0,26
101405.68,1,0,0,1,12,1,28
124472.4,1,0,1,0,12,1,43
10215.24,0,4,0,1,4,1,43
39106.96,0,0,0,1,12,0,34
15117.81,1,0,1,1,9,0,57
11769.08,0,1,1,1,8,1,36
17984.3,0,0,1,0,7,0,3
59714.53,1,2,0,1,13,1,51
48605.09,1,0,1,1,12,0,62
173183.62,0,0,0,1,12,1,17
23447.02,0,0,0,0,9,1,72
20418.44,1,0,0,0,8,0,39
63860.34,0,0,1,1,11,1,55
12854.97,0,0,0,0,7,1,13
11881.85,1,0,1,0,7,0,60
136179.55,1,1,1,0,12,0,88
700702.18,0,1,1,1,16,0,99
10016.97,0,0,0,0,0,0,94
42895.27,0,0,0,0,8,1,22
907513.63,0,0,1,0,15,1,94
56089.68,1,2,1,1,13,0,99
18522.55,1,2,0,1,10,0,36
181153.47,1,0,1,0,12,1,4
13406.98,0,0,0,0,8,0,25
72488.02,0,0,0,1,11,0,40
38567.77,0,0,1,1,9,0,67
812194.86,0,0,1,1,16,0,59
11115.65,1,1,0,1,6,1,58
371413.5,1,0,1,0,12,0,80
119668.43,1,0,1,1,13,1,51
212453.13,1,0,0,0,12,1,49
16804,0,2,1,0,8,0,51
10857.28,0,0,1,0,4,0,48
18526.45,0,0,1,0,9,1,55
15554.18,1,0,1,0,7,1,95
49904,1,2,1,1,12,0,81
12900.08,1,0,1,1,8,1,77
128400.47,0,0,1,0,13,1,54
83397.89,1,2,1,1,13,0,63
27351.29,1,3,1,0,10,1,17
149311.41,1,3,0,1,13,1,90
62414.33,0,1,1,1,9,1,39
68472.26,0,0,1,0,10,1,84
258139.99,0,2,0,1,14,1,10
61217.48,1,0,0,1,13,1,32
13003.06,0,1,1,1,8,1,47
11420.44,0,0,1,0,4,0,27
15094.09,0,2,1,0,7,1,65
11098.22,1,2,1,1,7,0,47
13615.75,0,0,1,1,8,0,19
10171.95,0,2,1,1,4,0,21
11942.13,0,2,1,0,6,1,93
10987.46,0,0,1,0,5,0,64
43467.84,0,2,1,1,12,0,86
12388.96,1,0,1,0,7,1,53
228492.44,1,0,1,1,14,1,62
11197.51,1,2,1,0,6,0,58
18741.39,1,0,1,1,10,0,80
144441.9,0,2,1,1,12,0,66
262548.14,0,0,1,0,10,1,65
13246.66,0,0,0,1,7,0,7
97760.43,0,0,0,1,14,1,10
46542.55,0,0,1,1,10,0,49
10242.56,0,0,1,1,5,0,32
36433.22,0,0,1,1,11,1,9
458554.72,1,1,1,0,13,1,98
35304.73,0,0,0,0,10,0,51
15125.55,0,0,0,0,7,1,14
23067.19,0,0,0,0,10,0,41
243646.07,0,0,1,1,12,1,45
10849.46,1,0,1,0,6,1,34
13659.71,1,0,1,0,8,0,22
105636.5,1,0,0,1,8,0,29
136986.71,0,0,1,0,13,0,19
12851.23,0,1,0,0,8,1,43
41311.27,0,0,1,1,12,1,52
18197.68,0,0,1,0,9,1,63
383943,0,2,0,1,15,0,68
31748.51,1,0,1,1,10,0,15
104628.46,1,0,0,0,12,0,64
26197.56,1,0,1,0,8,0,89
10436.51,0,0,1,0,5,0,46
10378.88,1,0,1,1,4,0,36
182596.64,1,0,0,1,12,0,29
23558.08,0,0,1,0,10,0,66
35619.58,0,0,0,0,10,1,50
11420.26,0,0,1,1,6,0,44
46757.44,0,2,1,1,10,0,2
42831.29,1,2,1,0,10,0,68
51650.75,0,2,1,1,13,1,75
12090.53,0,1,1,1,7,0,30
11610.26,0,1,0,0,5,1,69
61544.38,1,0,0,0,9,0,31
629675.98,0,1,0,1,16,0,60
13828.32,1,0,0,0,8,1,10
25451.48,0,0,1,0,9,1,75
10232.67,0,0,0,0,4,1,8
507951.95,1,0,0,1,15,1,34
11138.25,1,0,1,1,6,0,5
10212.74,1,0,1,0,4,1,51
292283.61,1,0,1,0,13,1,87
200979.9,0,2,1,0,12,1,9
12154.75,0,0,1,0,7,0,49
143398.65,0,1,0,1,14,1,32
262393.32,1,0,0,1,12,1,84
124483.37,0,0,1,1,13,1,63
623101.73,0,1,1,0,15,0,98
28111.42,1,2,1,0,10,1,6
91743.23,0,4,1,0,12,1,67
12994.3,0,2,1,1,8,1,59
25216.96,1,0,0,1,8,0,64
229815.35,0,0,0,0,12,0,14
17134.8,0,0,1,0,9,0,27
60501.44,0,4,1,0,12,0,43
16915.01,0,2,1,0,9,0,60
36796.72,1,1,0,0,9,0,66
10537.82,1,0,1,0,5,1,52
27585.59,0,0,1,1,8,1,31
274853.51,0,2,0,1,12,1,33
68540.72,1,2,1,1,12,0,27
10167.83,0,0,1,0,3,0,48
43054.2,0,0,0,0,8,0,24
66907.41,1,0,0,0,12,1,58
48246.29,1,0,1,1,11,1,8
12467.32,0,2,0,0,7,0,76
107277.23,1,0,1,1,14,1,49
12955.38,0,0,1,0,5,1,62
50838.51,0,3,0,1,12,0,38
11348.17,0,2,0,0,6,1,18
12088.03,0,0,1,0,7,0,88
10325.72,0,1,1,1,4,1,69
12478.82,1,3,1,1,9,0,3
410534.55,0,0,0,1,14,1,54
15512.08,1,0,0,1,8,0,43
395112.44,0,0,0,1,14,0,43
88774.03,0,0,1,1,12,1,58
14251.44,0,1,1,1,7,0,0
96182.86,0,0,1,1,13,1,40
419579.85,1,4,1,0,13,1,57
16434.47,0,4,1,0,7,1,46
484190.78,1,0,0,1,16,1,89
94542.59,0,0,1,0,12,0,34
10754.75,0,0,1,1,6,0,55
17386.32,1,0,1,1,8,1,72
18721.63,0,0,1,0,7,0,82
466678.55,0,0,0,1,16,1,90
16870.8,1,0,1,1,10,0,88
10118.45,1,0,1,1,3,1,58
17914.58,0,0,0,0,9,1,46
61617.82,1,0,1,1,10,0,53
73231.39,1,0,0,1,12,0,52
34322.12,0,0,1,0,11,1,44
165445.39,1,0,1,1,12,0,7
15644.36,1,0,0,1,9,0,46
72086.03,0,2,1,1,12,0,41
28983.14,0,0,1,1,11,1,89
121538.2,1,2,1,0,12,0,11
62850.04,0,0,0,1,12,0,14
61854.57,0,2,1,1,12,0,26
10070.07,0,2,1,1,2,0,45
41581.17,1,0,0,1,12,0,12
74568.47,0,0,1,0,10,0,83
16441.48,0,1,1,0,6,0,97
11678.97,1,0,0,0,7,0,51
12827.03,1,3,0,0,7,1,23
58164.25,0,0,0,1,11,1,62
10727.18,0,4,0,0,6,0,8
20935.98,1,0,1,1,6,1,21
15214.56,1,0,1,0,8,1,6
96948.32,0,1,1,1,13,0,2
749512.6,0,4,0,1,14,0,90
80022.16,1,0,0,1,11,0,74
53112.56,0,2,1,1,13,0,57
470925.3,1,0,1,0,13,0,75
103758.34,0,2,1,1,13,1,72
53510.18,1,0,1,1,12,0,92
18270.9,1,0,0,0,8,0,28
16082.63,1,0,1,0,5,0,37
11796.71,1,1,1,1,6,0,53
32553.73,1,1,0,1,10,0,3
25206.48,0,1,1,0,9,1,69
23638.91,0,2,1,1,10,1,74
13901.21,0,2,1,1,7,0,11
31062.66,1,3,0,0,10,1,74
676136.76,0,0,1,0,13,0,80
21259.65,1,3,0,1,10,1,4
112715.71,0,0,0,1,14,0,72
16916.97,1,1,1,0,9,0,83
12592.29,1,0,1,1,8,1,14
157094.44,0,4,0,1,12,1,31
50964.21,0,4,1,0,11,1,96
12421.64,1,2,0,1,8,1,32
240729.29,1,0,1,1,12,1,39
90787.96,1,0,0,0,10,0,10
47649.05,0,2,1,1,9,1,70
41762.96,0,2,0,1,11,0,60
13715.57,0,2,1,0,8,1,22
30623.47,0,2,0,1,12,0,18
124220.73,1,1,0,1,13,0,75
346420.03,0,0,1,1,10,0,78
293555.67,1,3,0,1,12,0,7
379334.18,1,2,1,0,13,0,85
17789.69,0,0,1,0,8,1,68
90510,0,0,0,0,12,0,81
20367.45,1,0,0,1,9,1,20
19173.99,0,0,1,0,8,1,41
407321.77,0,4,0,1,14,0,96
102657.66,0,2,1,1,8,0,55
17224.25,1,0,1,0,8,1,23
53551.14,0,0,0,0,11,1,68
407951.47,1,0,1,1,15,0,89
13959.78,1,0,1,0,8,1,49
14088.76,0,4,1,1,9,1,17
19254.71,1,0,1,0,6,0,67
134658,0,0,0,1,12,1,22
15420.95,0,0,1,1,8,1,64
54295.65,0,1,1,0,11,0,9
303445.04,1,0,0,0,12,0,38
64873.87,1,0,0,1,9,1,21
148106.25,0,1,1,1,13,1,92
13092.51,0,0,1,0,7,1,62
412599.31,1,2,1,0,9,1,54
66684.55,1,3,1,0,12,0,72
117877.82,1,0,0,0,12,0,9
10994.62,0,3,1,1,6,1,30
114980.95,0,0,1,1,13,1,96
15224.8,0,1,0,1,8,1,30
10490.83,1,1,1,1,5,0,63
10874.57,0,0,1,0,6,0,0
718965.85,0,0,1,0,15,0,95
12783.1,1,0,1,0,6,0,28
70145.09,0,0,1,0,12,1,58
152003.79,1,0,1,1,12,1,35
73777.15,1,1,1,1,10,0,41
53845.19,0,3,0,0,10,0,45
126974.8,0,0,1,0,12,0,27
39139.57,1,0,1,1,11,0,74
130390.14,0,0,0,1,14,1,55
170551.01,1,2,0,1,11,1,29
209081.63,0,3,1,1,12,1,23
330371.54,0,0,1,0,12,0,28
61279.3,1,1,0,1,13,0,43
943796.91,0,1,0,0,12,0,17
10857.59,0,1,1,0,5,0,36
33596.14,1,0,1,1,8,0,49
11538.97,0,2,1,1,7,1,43
174170.82,0,0,0,1,12,0,80
45004.03,0,1,1,0,8,1,23
13469.25,1,4,1,0,8,0,43
25606.65,1,2,0,1,11,1,42
339842.61,1,0,1,1,13,0,42
43133.52,1,2,0,1,12,0,41
13098.86,1,0,1,0,7,1,41
51463.64,0,0,1,1,10,1,49
266715.5,1,2,1,0,12,0,29
449153.96,0,0,0,0,13,0,72
116131.21,1,4,1,1,12,0,68
10328.05,1,0,1,1,4,0,51
11011,0,1,1,0,6,0,63
15944.95,0,0,1,0,8,1,60
31516.3,1,0,1,1,11,0,32
11445.16,1,0,0,0,4,1,66
25355.71,0,0,1,1,11,1,98
14983.24,0,0,1,1,10,1,21
22630.78,0,0,1,0,9,1,51
18534.73,1,2,0,1,10,1,45
158520.76,1,0,1,0,12,1,99
533561.2,0,0,1,0,13,0,71
670050.86,0,0,1,0,15,0,79
44225.37,1,0,1,0,11,0,8
12242.59,0,0,1,0,7,0,42
203379.27,0,0,1,1,15,0,75
33273.67,1,0,1,1,11,1,83
128186.04,1,0,0,1,13,0,21
10794.5,1,1,1,0,4,1,41
29038.54,0,2,0,1,11,0,32
495463.38,1,0,1,1,15,1,68
114895.75,1,0,1,1,12,1,22
271863.07,0,0,1,1,12,0,72
11246.85,0,2,1,0,6,1,21
11518.57,0,3,1,1,7,0,46
10282.11,0,0,1,0,5,1,36
10325.68,1,0,1,1,5,0,2
377516.56,0,1,1,1,14,0,44
27599.96,1,0,1,0,10,0,33
153995.14,1,2,1,0,12,0,0
10260.18,0,0,1,1,2,1,49
11266.37,0,2,1,1,6,1,74
11873.47,1,0,0,1,6,0,22
10261.81,1,0,1,1,4,1,45
286165.99,1,2,0,0,13,1,14
18987.14,1,1,1,1,9,0,24
22352.92,0,3,0,0,9,1,57
89418.39,1,3,0,0,12,0,59
33665.78,1,0,1,1,10,0,3
13619.42,0,0,0,0,7,1,39
606313.28,1,4,1,0,15,0,83
59924.77,1,3,1,0,12,0,12
111190.56,0,0,1,1,13,1,12
30458.91,1,4,1,1,10,1,5
25014.18,0,2,0,0,9,0,71
11863.98,1,0,1,0,7,1,22
222931,0,0,1,0,13,0,49
46627.01,1,0,0,0,11,0,67
91029.38,0,2,1,0,12,1,8
132911.05,1,3,0,0,13,1,5
129236.74,1,0,1,1,12,0,77
21325.57,1,0,0,1,9,0,53
36355.68,0,2,1,1,11,1,78
88498.57,0,0,1,1,13,1,70
32196.25,0,1,0,1,9,0,43
114331.76,1,0,0,0,12,0,46
58239.49,1,0,1,0,11,1,96
12964.49,1,0,1,0,7,1,30
11489.45,0,0,1,0,7,0,2
12258.43,0,0,1,0,7,0,83
60654.73,1,3,1,0,12,1,33
47683.45,1,0,1,0,11,1,87
24127.39,1,2,1,1,8,1,5
148875.64,0,2,0,0,12,1,66
12386.12,1,0,0,1,8,1,44
56960.72,1,0,0,1,13,1,40
73417.94,1,4,1,0,12,1,34
149932.32,0,0,1,1,13,0,10
16555.19,1,0,0,0,8,0,74
13697.97,1,0,1,0,8,1,42
10462.12,0,0,1,0,5,1,32
10076.82,0,0,1,1,3,0,27
23186.64,1,0,1,1,6,0,9
20423.5,0,0,1,1,8,1,8
20077.85,1,0,0,0,7,1,92
38881.41,0,0,1,0,11,1,69
39697.31,1,2,1,0,10,1,71
14929.8,1,0,1,1,6,1,32
53903.77,1,1,1,1,12,0,30
79455.47,1,2,1,0,12,1,94
135278.44,1,0,1,0,10,1,62
61387.32,0,4,0,1,13,1,21
186669.02,1,0,1,1,12,0,82
140087.46,0,0,0,0,11,0,58
122987.51,0,0,1,1,11,1,52
23521.13,1,0,0,1,9,1,91
140766.85,1,0,1,0,12,1,13
16410.19,0,0,1,1,10,0,21
24515.91,0,2,1,1,9,0,53
50953.81,0,0,1,1,12,0,6
13277.47,1,0,1,0,8,0,34
11479.81,0,0,0,1,7,1,7
808415.73,0,0,0,1,15,1,87
16543.47,0,1,1,1,10,0,32
79682.37,0,0,0,1,12,0,0
365200.9,0,2,0,0,12,1,78
10171.89,0,0,1,1,1,0,47
29157.08,0,1,1,1,10,1,52
10113.58,0,0,0,1,3,0,52
12010.31,0,0,0,1,8,1,1
12849.2,1,2,1,1,6,0,96
549369.71,0,0,0,0,15,1,79
10993.89,1,0,1,0,6,0,28
46154.56,0,0,0,0,11,0,31
471000.03,0,0,1,0,11,1,85
15255.15,1,0,1,0,8,1,21
44524.29,0,0,0,0,8,0,47
650358.92,1,0,0,0,15,1,98
12576.79,0,1,1,0,8,0,9
11213.3,0,0,1,0,7,1,34
297466.8,0,3,1,1,14,1,14
12809.8,1,0,1,0,6,1,52
10481.78,1,0,1,1,5,1,49
90649.37,1,0,1,1,11,1,38
112334.31,0,4,0,1,14,0,16
10581.15,1,0,1,1,5,0,42
12844.27,1,0,0,0,6,0,39
99631.53,1,0,1,0,12,0,77
792799.41,0,0,0,1,17,1,60
19387.11,0,4,1,0,7,1,33
33884.63,0,0,0,0,9,1,90
546227.61,0,0,0,1,15,1,89
15450.99,0,0,1,0,8,1,5
11893.63,1,0,0,0,7,0,46
751261.78,1,0,1,0,12,1,8
18589.22,1,1,1,0,8,0,8
10072.43,0,1,1,1,2,1,5
290559.01,1,0,0,0,11,0,22
91112.48,1,0,0,0,12,1,54
108364.43,1,1,0,1,12,1,73
30088.19,1,3,1,0,11,0,29
11108.89,1,0,1,1,7,0,31
442314.71,1,2,0,0,12,1,73
111594.1,1,0,0,0,12,0,8
21139.26,1,1,0,0,9,0,3
13763.8,0,0,0,0,7,1,56
78610.95,0,2,0,0,11,1,35
11210.9,0,1,1,1,6,1,23
589213.34,0,0,1,0,15,0,88
10695.23,1,0,1,1,5,1,25
